StartAngle;EndAngle;Length;Number;Meandir;Strength
0.0;22.5;0.02471671950108396;130;78.75;0.48483300024462966
22.5;45.0;0.1532534642356;515;78.75;0.48483300024462966
45.0;67.5;0.11010693763921323;329;78.75;0.48483300024462966
67.5;90.0;0.10251152437951734;342;78.75;0.48483300024462966
90.0;112.5;0.2864917333877891;756;78.75;0.48483300024462966
112.5;135.0;0.05431834936226853;239;78.75;0.48483300024462966
135.0;157.5;0.018618391363367747;109;78.75;0.48483300024462966
157.5;180.0;0.03195314537664093;130;78.75;0.48483300024462966
